name;cover;description;god;system;system_dop;system_dop2;system_dop3;obl;montage;img1;img2;img3;img4;img5;img6;img7;img8;img9;img10;img11;img12;img13;img14;img15;img16;img17;img18;img19;img20;ronson_system;ronson_montage;ronson_vitrage;ronson_granit;ronson_klinker;ronson_decor;ronson_brick;montagepartner;inside;Keyword;ncTitle;ncKeywords;ncDescription;ncSMO_Title;ncSMO_Description;ncSMO_Image
Жилой дом;000000478.jpg:image/jpeg:7061;г. Челябинск, Курчатовский р-н, Комсомольский проспект, д.9;2008.0;Ронсон-300;;;;керамогранит (видимое крепление);;000000705.jpg:image/jpeg:458866;000000176.jpg:image/jpeg:239118;000000174.jpg:image/jpeg:259558;000000178.jpg:image/jpeg:236249;000000710.jpg:image/jpeg:406626;000000708.jpg:image/jpeg:420323;000000712.jpg:image/jpeg:281633;;;;;;;;;;;;;;1;0;0;0;0;0;0;"ООО ""Нью-Строй"", г. Челябинск, Уральский ФО";0;;;;;;;
Государственный музыкальный театр имени И.М. Яушева;000002476.jpg:image/jpeg:15888;г. Саранск, ул. Богдана Хмельницкого, д.36;2011.0;Ронсон-400;;;;натуральный камень, декоративные элементы из полимербетона;;000002478.jpg:image/jpeg:210256;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;0;;;;;;;
Гараж-стоянка;000000480.jpg:image/jpeg:8258;г.Москва, ул.Академика Анохина, корп.19Б;2008.0;Ронсон-200;;;;металлосайдинг, ленточное остекление;;000000740.jpg:image/jpeg:522111;000000742.jpg:image/jpeg:331537;000000744.jpg:image/jpeg:401222;;;;;;;;;;;;;;;;;;1;1;1;0;0;0;0;;0;;;;;;;
Торговый центр «Мастер Дом»;000002529.jpg:image/jpeg:19852;г. Москва;2012.0;Ронсон-400;Ронсон-200;;;кассеты из алюмокомпозита, натуральный камень;;000002527.jpg:image/jpeg:229524;000002525.jpg:image/jpeg:252585;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;;0;;;;;;;
Подстанция КРУЭ г. Москва;000002524.jpg:image/jpeg:17782;г. Москва, ул. Подольских курсантов, вл.9;2012.0;Ронсон-300;;;;керамогранит (видимое крепление);;000002522.jpg:image/jpeg:224556;;;;;;;;;;;;;;;;;;;;1;1;0;0;0;0;0;;0;;;;;;;
Офисное здание;000002468.jpg:image/jpeg:26399;г. Москва, Семеновский вал, д. 6/10;2012.0;Ронсон-300;;;;керамогранит (видимое крепление);;000002469.jpg:image/jpeg:397549;;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;0;;;;;;;
Молокозавод, административное здание;000002467.jpg:image/jpeg:25901;г. Киров, ул. Вронского, д.105;2012.0;Ронсон-300;;;;керамогранит (видимое крепление);;000002460.jpg:image/jpeg:473498;000002462.jpg:image/jpeg:399691;000002464.jpg:image/jpeg:398854;000002466.jpg:image/jpeg:375457;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;0;;;;;;;
ТЦ «Семейный»;000002447.jpg:image/jpeg:31578;г. Калуга, ул. Суворова, д.109;2011.0;Ронсон-300;Ронсон-200;;;кассеты из композитных материалов, керамогранит, пояски из металлокасет, светопрозрачные конструкции, зенитарные фонари;;000002439.jpg:image/jpeg:457089;000002441.jpg:image/jpeg:407224;000002443.jpg:image/jpeg:293223;000002445.jpg:image/jpeg:460861;;;;;;;;;;;;;;;;;1;1;1;0;0;0;0;;0;;;;;;;
Главный вход стадиона «Центральный» г. Челябинск;000002420.jpg:image/jpeg:12267;г. Челябинск;2010.0;Ронсон-200;;;;кассеты из алюмокомпозита;;000002418.jpg:image/jpeg:147967;000002416.jpg:image/jpeg:153217;;;;;;;;;;;;;;;;;;;1;0;0;0;0;0;0;;0;;;;;;;
Жилой дом;000002394.jpg:image/jpeg:14329;г.Мытищи, ул. Троицкая, д. 11;2011.0;Ронсон-300 (крепление в межэтажные перекрытия);;;;керамогранит (видимое крепление);;000002380.jpg:image/jpeg:196343;000002382.jpg:image/jpeg:191687;000002384.jpg:image/jpeg:214151;000002386.jpg:image/jpeg:167537;000002388.jpg:image/jpeg:206767;000002390.jpg:image/jpeg:202278;000002392.jpg:image/jpeg:175127;;;;;;;;;;;;;;1;0;0;0;0;0;0;;0;;;;;;;
